name,layer_type,out_features,in_features,n,p_minus,p_zero,p_plus,H0,H1_row_prev,H1_col_prev,packed_bits_per_w_ref1p6,actual_aegis_packed_bits_per_w,rans0_bits_per_w,rans1_bits_per_w,zstd19_bits_per_w,xz9_bits_per_w,bytes_packed_ref,bytes_packed_actual,bytes_rans0,bytes_rans1,bytes_zstd19,bytes_xz9,n_anomaly_code3,roundtrip_mismatches
model.layers.0.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.3242609765794542,0.35159407721625435,0.32414494620429146,1.5838895577745422,1.5838438807109476,1.5838760132096383,1.6,2.0,1.5854322645399306,1.5853856404622395,1.5972781711154513,1.6096598307291667,3774873.6,4718592,3740504,3740394,3768452,3797664,0,0
model.layers.0.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.3281644715203179,0.3423111703660753,0.32952435811360675,1.5846999856897193,1.5846692834742386,1.5810340517686852,1.6,2.0,1.5862384372287326,1.5862070719401042,1.601849873860677,1.6150326199001737,3774873.6,4718592,3742406,3742332,3779238,3810340,0,0
model.layers.0.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.33647335900200737,0.32707346810234916,0.33645317289564347,1.5848348965217536,1.5848027866765375,1.584757130354688,1.6,2.0,1.5863605075412326,1.5863393147786458,1.6027573479546442,1.6160549587673612,3774873.6,4718592,3742694,3742644,3781379,3812752,0,0
model.layers.0.self_attn.k_proj.weight,attn_k,256,2048,524288,0.34288787841796875,0.31371498107910156,0.3433971405029297,1.5837000712731881,1.5833624178446493,1.5783792357717827,1.6,2.0,1.638427734375,1.6380615234375,1.587921142578125,1.588134765625,104857.6,131072,107376,107352,104066,104080,0,0
model.layers.0.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.311002254486084,0.37854552268981934,0.3104522228240967,1.5784624160827567,1.5782360215437916,1.5783906837191464,1.6,2.0,1.5853118896484375,1.5850677490234375,1.5822830200195312,1.5985565185546875,838860.8,1048576,831160,831032,829572,838104,0,0
model.layers.0.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.3273129463195801,0.345233678817749,0.3274533748626709,1.5845054405428938,1.583771370301605,1.58018078071751,1.6,2.0,1.5913734436035156,1.5906562805175781,1.5868892669677734,1.5741806030273438,838860.8,1048576,834338,833962,831987,825324,0,0
model.layers.0.self_attn.v_proj.weight,attn_v,256,2048,524288,0.31354522705078125,0.3723278045654297,0.31412696838378906,1.580114495245717,1.5801036818527598,1.5799313460246722,1.6,2.0,1.6348876953125,1.634979248046875,1.592926025390625,1.6226806640625,104857.6,131072,107144,107150,104394,106344,0,0
model.layers.1.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.3148828082614475,0.37035629484388566,0.3147608968946669,1.580588960666641,1.5805646318529352,1.5805876707515423,1.6,2.0,1.582135518391927,1.582110087076823,1.59031253390842,1.6067911783854167,3774873.6,4718592,3732726,3732666,3752018,3790896,0,0
model.layers.1.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.32233842213948566,0.3559827274746365,0.32167885038587785,1.5833147268694119,1.5833109278975215,1.5831875767415293,1.6,2.0,1.5848541259765625,1.584856669108073,1.5976376003689237,1.6149088541666667,3774873.6,4718592,3739140,3739146,3769300,3810048,0,0
model.layers.1.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.32132572597927517,0.3572097354465061,0.32146453857421875,1.5831329001426138,1.5831310828243748,1.5830826724801508,1.6,2.0,1.5846549140082464,1.584668477376302,1.5974862840440538,1.6147816975911458,3774873.6,4718592,3738670,3738702,3768943,3809748,0,0
model.layers.1.self_attn.k_proj.weight,attn_k,256,2048,524288,0.3278350830078125,0.3435516357421875,0.32861328125,1.5846245941541834,1.5828076185979891,1.583877468854224,1.6,2.0,1.63922119140625,1.6365966796875,1.5977020263671875,1.6124267578125,104857.6,131072,107428,107256,104707,105672,0,0
model.layers.1.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.31547975540161133,0.36911892890930176,0.3154013156890869,1.5808742438881782,1.5807636334502408,1.5808232560394715,1.6,2.0,1.5877265930175781,1.5876502990722656,1.5926246643066406,1.6121902465820312,838860.8,1048576,832426,832386,834994,845252,0,0
model.layers.1.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.3279104232788086,0.3441803455352783,0.3279092311859131,1.5845825980180717,1.5841961723386169,1.5840693042540153,1.6,2.0,1.5914230346679688,1.5910682678222656,1.5950946807861328,1.6064071655273438,838860.8,1048576,834364,834178,836289,842220,0,0
model.layers.1.self_attn.v_proj.weight,attn_v,256,2048,524288,0.3048248291015625,0.3901691436767578,0.3050060272216797,1.5747394336024172,1.574718837498466,1.5740207323947328,1.6,2.0,1.62933349609375,1.629486083984375,1.5855560302734375,1.61676025390625,104857.6,131072,106780,106790,103911,105956,0,0
model.layers.10.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2959412998623318,0.4079270362854004,0.2961316638522678,1.567472072790152,1.5674701355589222,1.5674590723167252,1.6,2.0,1.5690027872721355,1.5689993964301214,1.5776735941569011,1.5992211235894098,3774873.6,4718592,3701742,3701734,3722199,3773036,0,0
model.layers.10.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2969367239210341,0.4025813738505046,0.3004819022284614,1.5698440383218912,1.5698283970169835,1.569604099520907,1.6,2.0,1.571382310655382,1.571362813313802,1.5795059204101562,1.6003180609809027,3774873.6,4718592,3707356,3707310,3726522,3775624,0,0
model.layers.10.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.29149256812201607,0.41695690155029297,0.29155053032769096,1.5630524887606,1.563042539870146,1.5630253240379604,1.6,2.0,1.564592997233073,1.5645921495225694,1.5734002855088975,1.5938839382595487,3774873.6,4718592,3691338,3691336,3712117,3760444,0,0
model.layers.10.self_attn.k_proj.weight,attn_k,256,2048,524288,0.2955055236816406,0.4083995819091797,0.2960948944091797,1.5672524571268462,1.5644364038097747,1.5642182091280152,1.6,2.0,1.6221923828125,1.61944580078125,1.5790863037109375,1.5782470703125,104857.6,131072,106312,106132,103487,103432,0,0
model.layers.10.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.2880899906158447,0.42432618141174316,0.2875838279724121,1.5590865680916144,1.559011471906214,1.5590019894457408,1.6,2.0,1.5659675598144531,1.5658645629882812,1.568246841430664,1.5911788940429688,838860.8,1048576,821018,820964,822213,834236,0,0
model.layers.10.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.27858829498291016,0.4430203437805176,0.27839136123657227,1.5475912816430095,1.544419677524198,1.5442911817843439,1.6,2.0,1.5544509887695312,1.5512809753417969,1.5452747344970703,1.5404739379882812,838860.8,1048576,814980,813318,810169,807652,0,0
model.layers.10.self_attn.v_proj.weight,attn_v,256,2048,524288,0.2678546905517578,0.46422386169433594,0.26792144775390625,1.5320798712473414,1.5320801420976626,1.531922124308053,1.6,2.0,1.587066650390625,1.587127685546875,1.537445068359375,1.57476806640625,104857.6,131072,104010,104014,100758,103204,0,0
model.layers.11.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.29203001658121747,0.41600921418931747,0.29196076922946507,1.5635391084495862,1.5635379767435191,1.5635193367152622,1.6,2.0,1.565076192220052,1.565076192220052,1.5741640726725261,1.594392564561632,3774873.6,4718592,3692478,3692478,3713919,3761644,0,0
model.layers.11.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2843996153937446,0.4278233316209581,0.2877770529852973,1.5570782863548964,1.557052926343875,1.5568288899293785,1.6,2.0,1.55861324734158,1.558595445421007,1.566159142388238,1.5879652235243056,3774873.6,4718592,3677230,3677188,3695033,3746480,0,0
model.layers.11.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.3005560768975152,0.39886882570054794,0.30057509740193683,1.571416226710451,1.571404856626506,1.5713934757025374,1.6,2.0,1.5729395548502605,1.5729378594292536,1.5814539591471355,1.6021796332465277,3774873.6,4718592,3711030,3711026,3731118,3780016,0,0
model.layers.11.self_attn.k_proj.weight,attn_k,256,2048,524288,0.2785358428955078,0.4439735412597656,0.27749061584472656,1.5469488564060057,1.5433251147984905,1.5446218232521716,1.6,2.0,1.6019287109375,1.598663330078125,1.543182373046875,1.55364990234375,104857.6,131072,104984,104770,101134,101820,0,0
model.layers.11.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.30013608932495117,0.39990735054016113,0.2999565601348877,1.5709889829108823,1.5709584720905274,1.570978148263843,1.6,2.0,1.5778236389160156,1.5778465270996094,1.5817527770996094,1.6038131713867188,838860.8,1048576,827234,827246,829294,840860,0,0
model.layers.11.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.28093886375427246,0.4376802444458008,0.28138089179992676,1.5510841692138801,1.548950739781382,1.5489708688671624,1.6,2.0,1.5579643249511719,1.5557899475097656,1.5418548583984375,1.5511932373046875,838860.8,1048576,816822,815682,808376,813272,0,0
model.layers.11.self_attn.v_proj.weight,attn_v,256,2048,524288,0.3136005401611328,0.3727893829345703,0.3136100769042969,1.5800004188471262,1.5799971187700237,1.579804848886668,1.6,2.0,1.635711669921875,1.63604736328125,1.5915985107421875,1.62518310546875,104857.6,131072,107198,107220,104307,106508,0,0
model.layers.12.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.29755141999986434,0.40520715713500977,0.2972414228651259,1.568707932835022,1.5687081561562861,1.5686711334550067,1.6,2.0,1.570240444607205,1.5702480740017362,1.5789646572536893,1.6004486083984375,3774873.6,4718592,3704662,3704680,3725245,3775932,0,0
model.layers.12.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.28142918480767143,0.4347426626417372,0.28382815255059135,1.5529273772574865,1.5528972380071169,1.552597209157041,1.6,2.0,1.554472181532118,1.5544467502170138,1.5616713629828558,1.5828467475043402,3774873.6,4718592,3667460,3667400,3684445,3734404,0,0
model.layers.12.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.30101002587212455,0.3982004059685601,0.30078956815931535,1.5716876965141067,1.5716753860606096,1.5716686451605537,1.6,2.0,1.573226081000434,1.5732142130533855,1.5817591349283855,1.6033511691623263,3774873.6,4718592,3711706,3711678,3731838,3782780,0,0
model.layers.12.self_attn.k_proj.weight,attn_k,256,2048,524288,0.27045249938964844,0.45830726623535156,0.271240234375,1.536670451267533,1.533758328598787,1.5349005003276486,1.6,2.0,1.59136962890625,1.5888671875,1.541534423828125,1.5491943359375,104857.6,131072,104292,104128,101026,101528,0,0
model.layers.12.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.2972838878631592,0.40558600425720215,0.29713010787963867,1.5685385221560644,1.5685315113848484,1.5685236786762153,1.6,2.0,1.5753707885742188,1.5753860473632812,1.5796737670898438,1.6011428833007812,838860.8,1048576,825948,825956,828204,839460,0,0
model.layers.12.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.2923870086669922,0.41461873054504395,0.29299426078796387,1.564242995496157,1.5637188652668024,1.5636647496908904,1.6,2.0,1.5710945129394531,1.5705833435058594,1.5718059539794922,1.5824661254882812,838860.8,1048576,823706,823438,824079,829668,0,0
