Running as unit: run-rec96ad1670f14d8c9a73f654fecd97cf.scope; invocation ID: fefbc2b3254d47bcb65d6abdc857b014
  [1/168] model.layers.0.mlp.down_proj.weight: n=18874368 p0=0.3516 H0=1.5839 rans0=1.5854 rans1=1.5854 mism=0
  [2/168] model.layers.0.mlp.gate_proj.weight: n=18874368 p0=0.3423 H0=1.5847 rans0=1.5862 rans1=1.5862 mism=0
  [3/168] model.layers.0.mlp.up_proj.weight: n=18874368 p0=0.3271 H0=1.5848 rans0=1.5864 rans1=1.5863 mism=0
  [4/168] model.layers.0.self_attn.k_proj.weight: n=524288 p0=0.3137 H0=1.5837 rans0=1.6384 rans1=1.6381 mism=0
  [5/168] model.layers.0.self_attn.o_proj.weight: n=4194304 p0=0.3785 H0=1.5785 rans0=1.5853 rans1=1.5851 mism=0
  [6/168] model.layers.0.self_attn.q_proj.weight: n=4194304 p0=0.3452 H0=1.5845 rans0=1.5914 rans1=1.5907 mism=0
  [7/168] model.layers.0.self_attn.v_proj.weight: n=524288 p0=0.3723 H0=1.5801 rans0=1.6349 rans1=1.6350 mism=0
  [8/168] model.layers.1.mlp.down_proj.weight: n=18874368 p0=0.3704 H0=1.5806 rans0=1.5821 rans1=1.5821 mism=0
  [9/168] model.layers.1.mlp.gate_proj.weight: n=18874368 p0=0.3560 H0=1.5833 rans0=1.5849 rans1=1.5849 mism=0
  [10/168] model.layers.1.mlp.up_proj.weight: n=18874368 p0=0.3572 H0=1.5831 rans0=1.5847 rans1=1.5847 mism=0
  [11/168] model.layers.1.self_attn.k_proj.weight: n=524288 p0=0.3436 H0=1.5846 rans0=1.6392 rans1=1.6366 mism=0
  [12/168] model.layers.1.self_attn.o_proj.weight: n=4194304 p0=0.3691 H0=1.5809 rans0=1.5877 rans1=1.5877 mism=0
  [13/168] model.layers.1.self_attn.q_proj.weight: n=4194304 p0=0.3442 H0=1.5846 rans0=1.5914 rans1=1.5911 mism=0
  [14/168] model.layers.1.self_attn.v_proj.weight: n=524288 p0=0.3902 H0=1.5747 rans0=1.6293 rans1=1.6295 mism=0
  [15/168] model.layers.10.mlp.down_proj.weight: n=18874368 p0=0.4079 H0=1.5675 rans0=1.5690 rans1=1.5690 mism=0
  [16/168] model.layers.10.mlp.gate_proj.weight: n=18874368 p0=0.4026 H0=1.5698 rans0=1.5714 rans1=1.5714 mism=0
