id	tool_kinds	K	N	table	gen_status	verify_status
calc_01	calc	1	16	none	ok	PASS
calc_02	calc	1	16	none	ok	PASS
calc_03	calc	1	16	none	ok	PASS
calc_04	calc	1	16	none	ok	PASS
calc_05	calc	1	16	none	ok	PASS
lookup_01	lookup	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
lookup_02	lookup	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
lookup_03	lookup	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
lookup_04	lookup	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
lookup_05	lookup	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
fileread_01	file-read	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
fileread_02	file-read	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
fileread_03	file-read	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
fileread_04	file-read	1	16	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
mixed_lookup_calc_01	lookup,calc	2	20	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
mixed_lookup_calc_02	lookup,calc	2	20	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/demo.tsv	ok	PASS
chain_lookup_01	lookup,lookup	2	40	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/chain.tsv	ok	PASS
chain_lookup_02	lookup,lookup	2	40	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/chain.tsv	ok	PASS
chain_fileread_01	file-read,file-read	2	60	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/chain.tsv	ok	PASS
chain_fileread_02	file-read,file-read	2	60	/home/cm/projects/alice-aegis-cm-tools1/demo/agent-trace/tables/chain.tsv	ok	PASS
