name,layer_type,out_features,in_features,n,p_minus,p_zero,p_plus,H0,H1_row_prev,H1_col_prev,packed_bits_per_w_ref1p6,actual_aegis_packed_bits_per_w,rans0_bits_per_w,rans1_bits_per_w,zstd19_bits_per_w,xz9_bits_per_w,bytes_packed_ref,bytes_packed_actual,bytes_rans0,bytes_rans1,bytes_zstd19,bytes_xz9,n_anomaly_code3,roundtrip_mismatches
model.layers.0.mlp.down_proj.weight,ffn_down,2560,6912,17694720,0.3088738335503472,0.38213625307436344,0.30898991337528936,1.5774005598714451,1.577379780197371,1.571940007312919,1.6,2.0,1.5790464048032407,1.579026511863426,1.5844948097511573,1.602786820023148,3538944.0,4423680,3492598,3492554,3504649,3545108,0,0
model.layers.0.mlp.gate_proj.weight,ffn_gate,6912,2560,17694720,0.302670740198206,0.39130678530092594,0.30602247450086806,1.5743175884181357,1.5695659049758648,1.5734091794698948,1.6,2.0,1.5759331597222221,1.5712058738425927,1.5205738208912036,1.5367241753472223,3538944.0,4423680,3485712,3475256,3363266,3398988,0,0
model.layers.0.mlp.up_proj.weight,ffn_up,6912,2560,17694720,0.30988136574074077,0.3802624172634549,0.3098562169958044,1.5779647305299096,1.5726341999143227,1.5779634677722543,1.6,2.0,1.5795826099537038,1.574268482349537,1.5247694227430555,1.5382505063657408,3538944.0,4423680,3493784,3482030,3372546,3402364,0,0
model.layers.0.self_attn.k_proj.weight,attn_k,640,2560,1638400,0.2676116943359375,0.4647357177734375,0.267652587890625,1.531673115875037,1.5068612801166854,1.5031457916607964,1.6,2.0,1.54919921875,1.524541015625,1.462470703125,1.43130859375,327680.0,409600,317276,312226,299514,293132,0,0
model.layers.0.self_attn.o_proj.weight,attn_o,2560,2560,6553600,0.26273101806640625,0.4749360656738281,0.2623329162597656,1.5232503523422838,1.4926665906778513,1.4776817162136913,1.6,2.0,1.5276318359375,1.49711669921875,1.448367919921875,1.389150390625,1310720.0,1638400,1251436,1226438,1186503,1137992,0,0
model.layers.0.self_attn.q_proj.weight,attn_q,2560,2560,6553600,0.25171585083007814,0.4961723327636719,0.25211181640625,1.5037851683882009,1.4810868075667603,1.4762503415773902,1.6,2.0,1.50818115234375,1.485478515625,1.4091015625,1.3995556640625,1310720.0,1638400,1235502,1216904,1154336,1146516,0,0
model.layers.0.self_attn.v_proj.weight,attn_v,640,2560,1638400,0.2849786376953125,0.42982666015625,0.2851947021484375,1.555917745169658,1.5537294856944588,1.548153929252357,1.6,2.0,1.573564453125,1.5714453125,1.45015625,1.4371484375,327680.0,409600,322266,321832,296992,294328,0,0
model.layers.1.mlp.down_proj.weight,ffn_down,2560,6912,17694720,0.20035281711154515,0.5993303087022569,0.20031687418619792,1.3720106799956466,1.3720649437652357,1.1697863106989208,1.6,2.0,1.3736527054398149,1.3736147280092592,1.3689064308449075,1.3495135271990741,3538944.0,4423680,3038300,3038216,3027802,2984908,0,0
model.layers.1.mlp.gate_proj.weight,ffn_gate,6912,2560,17694720,0.19954201027199073,0.6007993344907407,0.19965865523726853,1.369681733853768,1.1728731750940122,1.369717858970233,1.6,2.0,1.3713152850115742,1.1746717664930555,0.9012505425347223,0.9118326822916667,3538944.0,4423680,3033130,2598186,1993422,2016828,0,0
model.layers.1.mlp.up_proj.weight,ffn_up,6912,2560,17694720,0.2001387419524016,0.5998895715784144,0.19997168646918403,1.3711255323975546,1.1724671819844534,1.3711639351449065,1.6,2.0,1.3727466724537036,1.1742314091435184,0.9007857711226852,0.9116319444444444,3538944.0,4423680,3036296,2597212,1992394,2016384,0,0
