iter,decode_cyc_per_tok,decode_total_cyc,decode_steps,prefill_cyc,out_hash
0,4585304,293459504,64,6763808,7aed346907e42110
1,4446935,284603898,64,6598828,7aed346907e42110
2,4520014,289280934,64,6648560,7aed346907e42110
3,4543557,290787686,64,6631994,7aed346907e42110
4,4702655,300969936,64,6685042,7aed346907e42110
5,4475593,286437968,64,6610468,7aed346907e42110
6,4606847,294838264,64,6646292,7aed346907e42110
7,4556151,291593680,64,6648096,7aed346907e42110
8,4511784,288754222,64,6626242,7aed346907e42110
9,4553237,291407228,64,6612454,7aed346907e42110
10,4611109,295110984,64,6618902,7aed346907e42110
11,4662267,298385088,64,6641420,7aed346907e42110
12,4663881,298488384,64,6608520,7aed346907e42110
13,4677912,299386392,64,6614016,7aed346907e42110
14,4472865,286263412,64,6651126,7aed346907e42110
15,4367076,279492910,64,6443974,7aed346907e42110
16,4710529,301473916,64,6610296,7aed346907e42110
17,4540811,290611926,64,6663566,7aed346907e42110
18,4421953,283005032,64,6634430,7aed346907e42110
19,4857785,310898250,64,7492500,7aed346907e42110
20,4699467,300765892,64,6762282,7aed346907e42110
21,4578422,293019062,64,6789932,7aed346907e42110
22,4581928,293243440,64,6423492,7aed346907e42110
23,4420518,282913204,64,6631422,7aed346907e42110
24,4584862,293431220,64,6677806,7aed346907e42110
