==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 5000/1254250 chars | chunk: 1352 tok (3.7 c/t) PPL 8.490 | overall: 1351 tok PPL 8.490
Progress: 10000/1254250 chars | chunk: 1166 tok (4.3 c/t) PPL 17.672 | overall: 2516 tok PPL 11.921
Progress: 15000/1254250 chars | chunk: 1230 tok (4.1 c/t) PPL 19.123 | overall: 3745 tok PPL 13.921
Progress: 20000/1254250 chars | chunk: 1186 tok (4.2 c/t) PPL 22.440 | overall: 4930 tok PPL 15.614
Progress: 25000/1254250 chars | chunk: 1166 tok (4.3 c/t) PPL 18.420 | overall: 6095 tok PPL 16.115
Progress: 30000/1254250 chars | chunk: 1298 tok (3.9 c/t) PPL 15.606 | overall: 7392 tok PPL 16.025
Progress: 35000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 16.922 | overall: 8652 tok PPL 16.152
Progress: 40000/1254250 chars | chunk: 1258 tok (4.0 c/t) PPL 16.573 | overall: 9909 tok PPL 16.205
Progress: 45000/1254250 chars | chunk: 1194 tok (4.2 c/t) PPL 15.763 | overall: 11102 tok PPL 16.157
Progress: 50000/1254250 chars | chunk: 1409 tok (3.5 c/t) PPL 11.350 | overall: 12510 tok PPL 15.527
Progress: 55000/1254250 chars | chunk: 1652 tok (3.0 c/t) PPL 8.465 | overall: 14161 tok PPL 14.467
Progress: 60000/1254250 chars | chunk: 1344 tok (3.7 c/t) PPL 13.203 | overall: 15504 tok PPL 14.353
Progress: 65000/1254250 chars | chunk: 1289 tok (3.9 c/t) PPL 15.301 | overall: 16792 tok PPL 14.423
Progress: 70000/1254250 chars | chunk: 1285 tok (3.9 c/t) PPL 17.109 | overall: 18076 tok PPL 14.599
Progress: 75000/1254250 chars | chunk: 1171 tok (4.3 c/t) PPL 20.495 | overall: 19246 tok PPL 14.904
Progress: 80000/1254250 chars | chunk: 1196 tok (4.2 c/t) PPL 17.928 | overall: 20441 tok PPL 15.065
Progress: 85000/1254250 chars | chunk: 1244 tok (4.0 c/t) PPL 17.193 | overall: 21684 tok PPL 15.180
Progress: 90000/1254250 chars | chunk: 1201 tok (4.2 c/t) PPL 17.894 | overall: 22884 tok PPL 15.311
Progress: 95000/1254250 chars | chunk: 1295 tok (3.9 c/t) PPL 14.250 | overall: 24178 tok PPL 15.253
Progress: 100000/1254250 chars | chunk: 1168 tok (4.3 c/t) PPL 27.840 | overall: 25345 tok PPL 15.681
Progress: 105000/1254250 chars | chunk: 1135 tok (4.4 c/t) PPL 14.024 | overall: 26479 tok PPL 15.606
Progress: 110000/1254250 chars | chunk: 1258 tok (4.0 c/t) PPL 15.485 | overall: 27736 tok PPL 15.601
Progress: 115000/1254250 chars | chunk: 1247 tok (4.0 c/t) PPL 18.065 | overall: 28982 tok PPL 15.700
Progress: 120000/1254250 chars | chunk: 1278 tok (3.9 c/t) PPL 17.761 | overall: 30259 tok PPL 15.781
Progress: 125000/1254250 chars | chunk: 1290 tok (3.9 c/t) PPL 17.845 | overall: 31548 tok PPL 15.861
Progress: 130000/1254250 chars | chunk: 1259 tok (4.0 c/t) PPL 17.553 | overall: 32806 tok PPL 15.923
Progress: 135000/1254250 chars | chunk: 1154 tok (4.3 c/t) PPL 22.692 | overall: 33959 tok PPL 16.115
Progress: 140000/1254250 chars | chunk: 1182 tok (4.2 c/t) PPL 25.049 | overall: 35140 tok PPL 16.356
Progress: 145000/1254250 chars | chunk: 1277 tok (3.9 c/t) PPL 15.666 | overall: 36416 tok PPL 16.331
Progress: 150000/1254250 chars | chunk: 1182 tok (4.2 c/t) PPL 19.783 | overall: 37597 tok PPL 16.430
Progress: 155000/1254250 chars | chunk: 1178 tok (4.2 c/t) PPL 15.945 | overall: 38774 tok PPL 16.415
Progress: 160000/1254250 chars | chunk: 1360 tok (3.7 c/t) PPL 11.080 | overall: 40133 tok PPL 16.198
Progress: 165000/1254250 chars | chunk: 1503 tok (3.3 c/t) PPL 9.480 | overall: 41635 tok PPL 15.888
Progress: 170000/1254250 chars | chunk: 1188 tok (4.2 c/t) PPL 12.323 | overall: 42822 tok PPL 15.777
Progress: 175000/1254250 chars | chunk: 1195 tok (4.2 c/t) PPL 19.601 | overall: 44016 tok PPL 15.870
Progress: 180000/1254250 chars | chunk: 1144 tok (4.4 c/t) PPL 17.931 | overall: 45159 tok PPL 15.919
Progress: 185000/1254250 chars | chunk: 1156 tok (4.3 c/t) PPL 23.073 | overall: 46314 tok PPL 16.067
Progress: 190000/1254250 chars | chunk: 1286 tok (3.9 c/t) PPL 14.690 | overall: 47599 tok PPL 16.028
Progress: 195000/1254250 chars | chunk: 1208 tok (4.1 c/t) PPL 19.198 | overall: 48806 tok PPL 16.100
Progress: 200000/1254250 chars | chunk: 1240 tok (4.0 c/t) PPL 18.542 | overall: 50045 tok PPL 16.156
Progress: 205000/1254250 chars | chunk: 1181 tok (4.2 c/t) PPL 19.436 | overall: 51225 tok PPL 16.225
Progress: 210000/1254250 chars | chunk: 1217 tok (4.1 c/t) PPL 20.078 | overall: 52441 tok PPL 16.305
Progress: 215000/1254250 chars | chunk: 1131 tok (4.4 c/t) PPL 28.372 | overall: 53571 tok PPL 16.497
Progress: 220000/1254250 chars | chunk: 1235 tok (4.0 c/t) PPL 18.325 | overall: 54805 tok PPL 16.536
Progress: 225000/1254250 chars | chunk: 1230 tok (4.1 c/t) PPL 16.006 | overall: 56034 tok PPL 16.524
Progress: 230000/1254250 chars | chunk: 1131 tok (4.4 c/t) PPL 26.655 | overall: 57164 tok PPL 16.681
Progress: 235000/1254250 chars | chunk: 1208 tok (4.1 c/t) PPL 23.197 | overall: 58371 tok PPL 16.795
Progress: 240000/1254250 chars | chunk: 1271 tok (3.9 c/t) PPL 17.298 | overall: 59641 tok PPL 16.806
Progress: 245000/1254250 chars | chunk: 1229 tok (4.1 c/t) PPL 19.557 | overall: 60869 tok PPL 16.857
Progress: 250000/1254250 chars | chunk: 1239 tok (4.0 c/t) PPL 16.202 | overall: 62107 tok PPL 16.844
Progress: 255000/1254250 chars | chunk: 1316 tok (3.8 c/t) PPL 12.730 | overall: 63422 tok PPL 16.747
Progress: 260000/1254250 chars | chunk: 1364 tok (3.7 c/t) PPL 12.225 | overall: 64785 tok PPL 16.636
Progress: 265000/1254250 chars | chunk: 1459 tok (3.4 c/t) PPL 8.954 | overall: 66243 tok PPL 16.411
Progress: 270000/1254250 chars | chunk: 1363 tok (3.7 c/t) PPL 8.420 | overall: 67605 tok PPL 16.192
Progress: 275000/1254250 chars | chunk: 1445 tok (3.5 c/t) PPL 7.156 | overall: 69049 tok PPL 15.918
