=== WikiText-2 FULL test-set PPL — post-tokenizer-fix re-run (ATTEMPT 2) ===
date: 2026-07-18T01:13:34Z
binary: aegis-eval/target/release/aegis-eval (built 2026-07-16 22:57, commit 5989c32)
cmd: aegis-eval aegis_pruned_model.safetensors aegis-forge/embed.bin aegis-forge/vocab.bin test.txt (flagless = chunked full-text)
attempt 1 died at session-close 2026-07-16 23:47 (2% done; log: *_attempt1_DIED_session-close.log); this attempt runs under systemd-run --user + linger
prior full-set anchor: 15.825 (old tokenizer); sample anchors: old 10.348 / new 10.758
---
==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 5000/1254250 chars | chunk: 1346 tok (3.7 c/t) PPL 8.700 | overall: 1345 tok PPL 8.700
Progress: 10000/1254250 chars | chunk: 1155 tok (4.3 c/t) PPL 18.961 | overall: 2499 tok PPL 12.467
Progress: 15000/1254250 chars | chunk: 1224 tok (4.1 c/t) PPL 19.592 | overall: 3722 tok PPL 14.463
Progress: 20000/1254250 chars | chunk: 1178 tok (4.2 c/t) PPL 22.908 | overall: 4899 tok PPL 16.153
Progress: 25000/1254250 chars | chunk: 1162 tok (4.3 c/t) PPL 18.567 | overall: 6060 tok PPL 16.590
Progress: 30000/1254250 chars | chunk: 1294 tok (3.9 c/t) PPL 15.801 | overall: 7353 tok PPL 16.448
Progress: 35000/1254250 chars | chunk: 1255 tok (4.0 c/t) PPL 16.999 | overall: 8607 tok PPL 16.527
Progress: 40000/1254250 chars | chunk: 1253 tok (4.0 c/t) PPL 16.566 | overall: 9859 tok PPL 16.532
Progress: 45000/1254250 chars | chunk: 1182 tok (4.2 c/t) PPL 16.916 | overall: 11040 tok PPL 16.573
Progress: 50000/1254250 chars | chunk: 1405 tok (3.6 c/t) PPL 11.395 | overall: 12444 tok PPL 15.887
Progress: 55000/1254250 chars | chunk: 1650 tok (3.0 c/t) PPL 8.521 | overall: 14093 tok PPL 14.770
Progress: 60000/1254250 chars | chunk: 1338 tok (3.7 c/t) PPL 13.407 | overall: 15430 tok PPL 14.647
Progress: 65000/1254250 chars | chunk: 1281 tok (3.9 c/t) PPL 16.218 | overall: 16710 tok PPL 14.762
Progress: 70000/1254250 chars | chunk: 1280 tok (3.9 c/t) PPL 17.587 | overall: 17989 tok PPL 14.947
Progress: 75000/1254250 chars | chunk: 1169 tok (4.3 c/t) PPL 20.839 | overall: 19157 tok PPL 15.253
Progress: 80000/1254250 chars | chunk: 1192 tok (4.2 c/t) PPL 18.118 | overall: 20348 tok PPL 15.407
