[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
cool     0/4000 | loss 1.4533 | lr 1.000e-04 | wd 0.000 | gnorm 2.09 | 4.4s
cool    10/4000 | loss 1.4436 | lr 1.000e-04 | wd 0.000 | gnorm 2.09 | 37.1s
cool    20/4000 | loss 1.4041 | lr 9.999e-05 | wd 0.000 | gnorm 2.10 | 87.1s
cool    30/4000 | loss 1.3360 | lr 9.999e-05 | wd 0.000 | gnorm 2.15 | 116.4s
cool    40/4000 | loss 1.3950 | lr 9.998e-05 | wd 0.000 | gnorm 2.10 | 145.7s
cool    50/4000 | loss 1.4781 | lr 9.996e-05 | wd 0.000 | gnorm 2.20 | 174.8s
cool    60/4000 | loss 1.3616 | lr 9.994e-05 | wd 0.000 | gnorm 2.02 | 206.0s
cool    70/4000 | loss 1.3466 | lr 9.992e-05 | wd 0.000 | gnorm 2.15 | 235.7s
cool    80/4000 | loss 1.4269 | lr 9.990e-05 | wd 0.000 | gnorm 2.19 | 266.8s
cool    90/4000 | loss 1.4460 | lr 9.988e-05 | wd 0.000 | gnorm 2.31 | 298.2s
cool   100/4000 | loss 1.6449 | lr 9.985e-05 | wd 0.000 | gnorm 2.51 | 330.1s
cool   110/4000 | loss 1.5238 | lr 9.981e-05 | wd 0.000 | gnorm 2.25 | 360.1s
cool   120/4000 | loss 1.3533 | lr 9.978e-05 | wd 0.000 | gnorm 2.22 | 391.4s
cool   130/4000 | loss 1.4004 | lr 9.974e-05 | wd 0.000 | gnorm 2.50 | 422.1s
cool   140/4000 | loss 1.4612 | lr 9.970e-05 | wd 0.000 | gnorm 2.08 | 453.1s
cool   150/4000 | loss 1.5751 | lr 9.965e-05 | wd 0.000 | gnorm 2.43 | 484.1s
cool   160/4000 | loss 1.3380 | lr 9.961e-05 | wd 0.000 | gnorm 1.99 | 514.5s
cool   170/4000 | loss 1.4341 | lr 9.955e-05 | wd 0.000 | gnorm 2.29 | 548.0s
cool   180/4000 | loss 1.6160 | lr 9.950e-05 | wd 0.000 | gnorm 2.31 | 578.3s
cool   190/4000 | loss 1.4909 | lr 9.944e-05 | wd 0.000 | gnorm 2.11 | 607.9s
cool   200/4000 | loss 1.5528 | lr 9.938e-05 | wd 0.000 | gnorm 2.18 | 636.7s
cool   210/4000 | loss 1.4649 | lr 9.932e-05 | wd 0.000 | gnorm 2.10 | 665.6s
cool   220/4000 | loss 1.3424 | lr 9.926e-05 | wd 0.000 | gnorm 2.16 | 695.6s
cool   230/4000 | loss 1.5512 | lr 9.919e-05 | wd 0.000 | gnorm 2.25 | 725.0s
cool   240/4000 | loss 1.4661 | lr 9.911e-05 | wd 0.000 | gnorm 2.12 | 755.3s
  [val] cool 250 | val_ppl 5.3917 | baseline 5.5558 | delta -0.1642
cool   250/4000 | loss 1.4937 | lr 9.904e-05 | wd 0.000 | gnorm 2.13 | 784.3s
cool   260/4000 | loss 1.7327 | lr 9.896e-05 | wd 0.000 | gnorm 2.47 | 814.1s
cool   270/4000 | loss 1.5541 | lr 9.888e-05 | wd 0.000 | gnorm 2.29 | 842.9s
cool   280/4000 | loss 1.5412 | lr 9.880e-05 | wd 0.000 | gnorm 2.22 | 867.1s
cool   290/4000 | loss 1.5764 | lr 9.871e-05 | wd 0.000 | gnorm 2.19 | 889.8s
cool   300/4000 | loss 1.3103 | lr 9.862e-05 | wd 0.000 | gnorm 2.13 | 912.1s
cool   310/4000 | loss 1.4234 | lr 9.853e-05 | wd 0.000 | gnorm 2.13 | 934.3s
cool   320/4000 | loss 1.5475 | lr 9.843e-05 | wd 0.000 | gnorm 2.15 | 957.2s
cool   330/4000 | loss 1.5187 | lr 9.833e-05 | wd 0.000 | gnorm 2.26 | 980.1s
cool   340/4000 | loss 1.6471 | lr 9.823e-05 | wd 0.000 | gnorm 2.80 | 1003.1s
cool   350/4000 | loss 1.4350 | lr 9.812e-05 | wd 0.000 | gnorm 2.15 | 1026.3s
cool   360/4000 | loss 1.4031 | lr 9.801e-05 | wd 0.000 | gnorm 2.11 | 1049.1s
cool   370/4000 | loss 1.3795 | lr 9.790e-05 | wd 0.000 | gnorm 2.11 | 1072.4s
cool   380/4000 | loss 1.6017 | lr 9.779e-05 | wd 0.000 | gnorm 2.31 | 1094.5s
cool   390/4000 | loss 1.5449 | lr 9.767e-05 | wd 0.000 | gnorm 2.11 | 1116.6s
cool   400/4000 | loss 1.4772 | lr 9.755e-05 | wd 0.000 | gnorm 2.16 | 1138.8s
cool   410/4000 | loss 1.3864 | lr 9.743e-05 | wd 0.000 | gnorm 2.15 | 1161.4s
cool   420/4000 | loss 1.3415 | lr 9.730e-05 | wd 0.000 | gnorm 2.10 | 1183.3s
cool   430/4000 | loss 1.3321 | lr 9.718e-05 | wd 0.000 | gnorm 2.11 | 1205.2s
cool   440/4000 | loss 1.5813 | lr 9.704e-05 | wd 0.000 | gnorm 2.18 | 1227.5s
cool   450/4000 | loss 1.4991 | lr 9.691e-05 | wd 0.000 | gnorm 2.04 | 1250.8s
cool   460/4000 | loss 1.5098 | lr 9.677e-05 | wd 0.000 | gnorm 2.31 | 1273.7s
