[train] model params: 14171392 (14.17M) | linear=bitlinear | sched=two_stage | B=8 T=512 threads=4
step     0/122071 | loss 9.1242 | lr 0.00e+00 | wd 0.100 | gnorm 7.82 | 8.2s
step    10/122071 | loss 8.9426 | lr 1.00e-05 | wd 0.100 | gnorm 7.81 | 56.7s
step    20/122071 | loss 8.5826 | lr 2.00e-05 | wd 0.100 | gnorm 5.56 | 100.8s
step    30/122071 | loss 8.2396 | lr 3.00e-05 | wd 0.100 | gnorm 3.30 | 141.0s
step    40/122071 | loss 7.9691 | lr 4.00e-05 | wd 0.100 | gnorm 2.61 | 181.5s
step    50/122071 | loss 7.8060 | lr 5.00e-05 | wd 0.100 | gnorm 2.32 | 221.2s
step    60/122071 | loss 7.5880 | lr 6.00e-05 | wd 0.100 | gnorm 2.09 | 260.8s
step    70/122071 | loss 7.2704 | lr 7.00e-05 | wd 0.100 | gnorm 2.12 | 300.2s
step    80/122071 | loss 6.9678 | lr 8.00e-05 | wd 0.100 | gnorm 1.97 | 340.2s
step    90/122071 | loss 6.7015 | lr 9.00e-05 | wd 0.100 | gnorm 1.69 | 381.0s
step   100/122071 | loss 6.3820 | lr 1.00e-04 | wd 0.100 | gnorm 1.49 | 421.3s
step   110/122071 | loss 6.1843 | lr 1.10e-04 | wd 0.100 | gnorm 1.39 | 461.0s
step   120/122071 | loss 5.9080 | lr 1.20e-04 | wd 0.100 | gnorm 1.27 | 500.4s
step   130/122071 | loss 5.9589 | lr 1.30e-04 | wd 0.100 | gnorm 2.11 | 540.8s
step   140/122071 | loss 5.6658 | lr 1.40e-04 | wd 0.100 | gnorm 1.30 | 580.3s
step   150/122071 | loss 5.5275 | lr 1.50e-04 | wd 0.100 | gnorm 1.56 | 621.5s
step   160/122071 | loss 5.3408 | lr 1.60e-04 | wd 0.100 | gnorm 2.92 | 661.5s
step   170/122071 | loss 5.2800 | lr 1.70e-04 | wd 0.100 | gnorm 2.75 | 701.1s
step   180/122071 | loss 5.1001 | lr 1.80e-04 | wd 0.100 | gnorm 4.34 | 740.4s
step   190/122071 | loss 4.9308 | lr 1.90e-04 | wd 0.100 | gnorm 3.42 | 779.6s
step   200/122071 | loss 4.8668 | lr 2.00e-04 | wd 0.100 | gnorm 3.40 | 819.3s
step   210/122071 | loss 4.6831 | lr 2.10e-04 | wd 0.100 | gnorm 3.46 | 858.5s
step   220/122071 | loss 4.7118 | lr 2.20e-04 | wd 0.100 | gnorm 3.02 | 898.9s
step   230/122071 | loss 4.6123 | lr 2.30e-04 | wd 0.100 | gnorm 3.18 | 938.2s
step   240/122071 | loss 4.4671 | lr 2.40e-04 | wd 0.100 | gnorm 3.26 | 979.5s
step   250/122071 | loss 4.3321 | lr 2.50e-04 | wd 0.100 | gnorm 2.60 | 1020.3s
step   260/122071 | loss 4.3301 | lr 2.60e-04 | wd 0.100 | gnorm 2.76 | 1059.8s
step   270/122071 | loss 4.2259 | lr 2.70e-04 | wd 0.100 | gnorm 2.97 | 1099.0s
step   280/122071 | loss 4.1632 | lr 2.80e-04 | wd 0.100 | gnorm 2.58 | 1141.3s
step   290/122071 | loss 4.2470 | lr 2.90e-04 | wd 0.100 | gnorm 2.85 | 1181.0s
step   300/122071 | loss 4.2480 | lr 3.00e-04 | wd 0.100 | gnorm 2.33 | 1221.2s
step   310/122071 | loss 4.0986 | lr 3.10e-04 | wd 0.100 | gnorm 2.24 | 1260.3s
step   320/122071 | loss 4.0091 | lr 3.20e-04 | wd 0.100 | gnorm 2.95 | 1299.7s
step   330/122071 | loss 4.0395 | lr 3.30e-04 | wd 0.100 | gnorm 2.28 | 1340.2s
step   340/122071 | loss 3.7904 | lr 3.40e-04 | wd 0.100 | gnorm 2.42 | 1380.5s
step   350/122071 | loss 3.9404 | lr 3.50e-04 | wd 0.100 | gnorm 3.03 | 1420.3s
step   360/122071 | loss 3.8618 | lr 3.60e-04 | wd 0.100 | gnorm 2.44 | 1459.7s
step   370/122071 | loss 3.8377 | lr 3.70e-04 | wd 0.100 | gnorm 1.75 | 1499.5s
step   380/122071 | loss 3.7818 | lr 3.80e-04 | wd 0.100 | gnorm 2.23 | 1539.6s
step   390/122071 | loss 3.8323 | lr 3.90e-04 | wd 0.100 | gnorm 2.14 | 1578.7s
step   400/122071 | loss 3.7184 | lr 4.00e-04 | wd 0.100 | gnorm 1.83 | 1619.1s
step   410/122071 | loss 3.7316 | lr 4.10e-04 | wd 0.100 | gnorm 2.52 | 1659.1s
step   420/122071 | loss 3.7012 | lr 4.20e-04 | wd 0.100 | gnorm 2.15 | 1699.7s
step   430/122071 | loss 3.5484 | lr 4.30e-04 | wd 0.100 | gnorm 2.02 | 1739.7s
step   440/122071 | loss 3.5863 | lr 4.40e-04 | wd 0.100 | gnorm 2.43 | 1779.7s
step   450/122071 | loss 3.7950 | lr 4.50e-04 | wd 0.100 | gnorm 2.19 | 1820.7s
step   460/122071 | loss 3.7148 | lr 4.60e-04 | wd 0.100 | gnorm 2.64 | 1860.0s
step   470/122071 | loss 3.4823 | lr 4.70e-04 | wd 0.100 | gnorm 2.40 | 1899.8s
step   480/122071 | loss 3.5845 | lr 4.80e-04 | wd 0.100 | gnorm 1.84 | 1939.2s
step   490/122071 | loss 3.2887 | lr 4.90e-04 | wd 0.100 | gnorm 1.93 | 1979.3s
  [val] step 500 | val_ppl 45.903
step   500/122071 | loss 3.3366 | lr 5.00e-04 | wd 0.100 | gnorm 1.73 | 2019.2s
step   510/122071 | loss 3.4518 | lr 5.10e-04 | wd 0.100 | gnorm 1.61 | 2059.3s
step   520/122071 | loss 3.1677 | lr 5.20e-04 | wd 0.100 | gnorm 1.85 | 2100.3s
step   530/122071 | loss 3.5588 | lr 5.30e-04 | wd 0.100 | gnorm 2.02 | 2140.5s
step   540/122071 | loss 3.3104 | lr 5.40e-04 | wd 0.100 | gnorm 1.64 | 2180.2s
step   550/122071 | loss 3.3263 | lr 5.50e-04 | wd 0.100 | gnorm 1.68 | 2220.4s
step   560/122071 | loss 3.3290 | lr 5.60e-04 | wd 0.100 | gnorm 1.68 | 2260.2s
step   570/122071 | loss 3.4374 | lr 5.70e-04 | wd 0.100 | gnorm 1.60 | 2303.7s
step   580/122071 | loss 3.4124 | lr 5.80e-04 | wd 0.100 | gnorm 1.67 | 2347.1s
step   590/122071 | loss 3.1464 | lr 5.90e-04 | wd 0.100 | gnorm 1.67 | 2386.9s
step   600/122071 | loss 3.1914 | lr 6.00e-04 | wd 0.100 | gnorm 1.74 | 2427.0s
step   610/122071 | loss 3.1350 | lr 6.10e-04 | wd 0.100 | gnorm 1.73 | 2466.7s
step   620/122071 | loss 3.2227 | lr 6.20e-04 | wd 0.100 | gnorm 1.69 | 2506.8s
step   630/122071 | loss 3.1982 | lr 6.30e-04 | wd 0.100 | gnorm 1.48 | 2546.9s
step   640/122071 | loss 3.0855 | lr 6.40e-04 | wd 0.100 | gnorm 1.74 | 2587.0s
step   650/122071 | loss 3.1567 | lr 6.50e-04 | wd 0.100 | gnorm 1.42 | 2626.9s
step   660/122071 | loss 3.0233 | lr 6.60e-04 | wd 0.100 | gnorm 1.80 | 2666.3s
step   670/122071 | loss 3.2340 | lr 6.70e-04 | wd 0.100 | gnorm 1.45 | 2706.2s
step   680/122071 | loss 3.2668 | lr 6.80e-04 | wd 0.100 | gnorm 1.59 | 2746.2s
step   690/122071 | loss 2.8913 | lr 6.90e-04 | wd 0.100 | gnorm 2.18 | 2786.2s
step   700/122071 | loss 3.1975 | lr 7.00e-04 | wd 0.100 | gnorm 1.51 | 2826.5s
step   710/122071 | loss 3.0556 | lr 7.10e-04 | wd 0.100 | gnorm 1.40 | 2866.4s
step   720/122071 | loss 3.2426 | lr 7.20e-04 | wd 0.100 | gnorm 1.48 | 2907.1s
step   730/122071 | loss 2.8960 | lr 7.30e-04 | wd 0.100 | gnorm 1.47 | 2947.5s
step   740/122071 | loss 2.9589 | lr 7.40e-04 | wd 0.100 | gnorm 1.60 | 2987.4s
step   750/122071 | loss 3.0712 | lr 7.50e-04 | wd 0.100 | gnorm 1.39 | 3027.5s
step   760/122071 | loss 3.1696 | lr 7.60e-04 | wd 0.100 | gnorm 1.57 | 3068.5s
step   770/122071 | loss 2.9346 | lr 7.70e-04 | wd 0.100 | gnorm 1.56 | 3108.5s
step   780/122071 | loss 3.1898 | lr 7.80e-04 | wd 0.100 | gnorm 1.27 | 3148.8s
step   790/122071 | loss 2.9325 | lr 7.90e-04 | wd 0.100 | gnorm 1.34 | 3188.9s
step   800/122071 | loss 2.8681 | lr 8.00e-04 | wd 0.100 | gnorm 1.36 | 3229.2s
step   810/122071 | loss 2.8727 | lr 8.10e-04 | wd 0.100 | gnorm 1.29 | 3268.8s
step   820/122071 | loss 3.0667 | lr 8.20e-04 | wd 0.100 | gnorm 1.37 | 3312.1s
step   830/122071 | loss 3.0523 | lr 8.30e-04 | wd 0.100 | gnorm 1.28 | 3352.3s
step   840/122071 | loss 2.9228 | lr 8.40e-04 | wd 0.100 | gnorm 1.28 | 3391.9s
step   850/122071 | loss 2.7618 | lr 8.50e-04 | wd 0.100 | gnorm 1.36 | 3431.9s
step   860/122071 | loss 3.1038 | lr 8.60e-04 | wd 0.100 | gnorm 1.38 | 3471.5s
step   870/122071 | loss 2.9607 | lr 8.70e-04 | wd 0.100 | gnorm 1.30 | 3510.7s
step   880/122071 | loss 2.8694 | lr 8.80e-04 | wd 0.100 | gnorm 1.29 | 3551.5s
step   890/122071 | loss 2.7899 | lr 8.90e-04 | wd 0.100 | gnorm 1.19 | 3591.3s
step   900/122071 | loss 2.7755 | lr 9.00e-04 | wd 0.100 | gnorm 1.55 | 3632.1s
