[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step     0/122071 | loss 9.0418 | lr 0.00e+00 | wd 0.100 | gnorm 5.12 | 2.5s
step    10/122071 | loss 9.0218 | lr 5.00e-06 | wd 0.100 | gnorm 4.58 | 22.3s
step    20/122071 | loss 8.8792 | lr 1.00e-05 | wd 0.100 | gnorm 4.20 | 41.0s
step    30/122071 | loss 8.6720 | lr 1.50e-05 | wd 0.100 | gnorm 3.50 | 59.5s
step    40/122071 | loss 8.4985 | lr 2.00e-05 | wd 0.100 | gnorm 2.85 | 77.9s
step    50/122071 | loss 8.3858 | lr 2.50e-05 | wd 0.100 | gnorm 2.19 | 96.6s
step    60/122071 | loss 8.2801 | lr 3.00e-05 | wd 0.100 | gnorm 1.89 | 115.1s
step    70/122071 | loss 8.1447 | lr 3.50e-05 | wd 0.100 | gnorm 1.98 | 134.3s
step    80/122071 | loss 8.0358 | lr 4.00e-05 | wd 0.100 | gnorm 1.92 | 153.6s
step    90/122071 | loss 7.9231 | lr 4.50e-05 | wd 0.100 | gnorm 1.87 | 173.2s
step   100/122071 | loss 7.7503 | lr 5.00e-05 | wd 0.100 | gnorm 1.91 | 192.4s
step   110/122071 | loss 7.6142 | lr 5.50e-05 | wd 0.100 | gnorm 1.78 | 211.7s
step   120/122071 | loss 7.3993 | lr 6.00e-05 | wd 0.100 | gnorm 1.83 | 231.5s
step   130/122071 | loss 7.2857 | lr 6.50e-05 | wd 0.100 | gnorm 1.72 | 250.7s
step   140/122071 | loss 7.0149 | lr 7.00e-05 | wd 0.100 | gnorm 1.89 | 269.7s
step   150/122071 | loss 6.8230 | lr 7.50e-05 | wd 0.100 | gnorm 1.76 | 288.8s
step   160/122071 | loss 6.6360 | lr 8.00e-05 | wd 0.100 | gnorm 1.69 | 308.1s
step   170/122071 | loss 6.4733 | lr 8.50e-05 | wd 0.100 | gnorm 1.71 | 327.0s
step   180/122071 | loss 6.2946 | lr 9.00e-05 | wd 0.100 | gnorm 1.72 | 345.8s
step   190/122071 | loss 6.1214 | lr 9.50e-05 | wd 0.100 | gnorm 1.85 | 365.1s
step   200/122071 | loss 5.9685 | lr 1.00e-04 | wd 0.100 | gnorm 1.69 | 390.0s
step   210/122071 | loss 5.7841 | lr 1.05e-04 | wd 0.100 | gnorm 1.64 | 409.7s
step   220/122071 | loss 5.7548 | lr 1.10e-04 | wd 0.100 | gnorm 1.84 | 428.6s
step   230/122071 | loss 5.6204 | lr 1.15e-04 | wd 0.100 | gnorm 2.53 | 447.4s
step   240/122071 | loss 5.4680 | lr 1.20e-04 | wd 0.100 | gnorm 2.06 | 466.8s
step   250/122071 | loss 5.3661 | lr 1.25e-04 | wd 0.100 | gnorm 1.42 | 485.6s
step   260/122071 | loss 5.3056 | lr 1.30e-04 | wd 0.100 | gnorm 3.51 | 504.4s
step   270/122071 | loss 5.1688 | lr 1.35e-04 | wd 0.100 | gnorm 2.66 | 523.0s
step   280/122071 | loss 5.0852 | lr 1.40e-04 | wd 0.100 | gnorm 2.24 | 542.5s
step   290/122071 | loss 5.1027 | lr 1.45e-04 | wd 0.100 | gnorm 2.88 | 561.0s
step   300/122071 | loss 5.0279 | lr 1.50e-04 | wd 0.100 | gnorm 2.71 | 580.1s
step   310/122071 | loss 4.8710 | lr 1.55e-04 | wd 0.100 | gnorm 2.05 | 599.8s
step   320/122071 | loss 4.7480 | lr 1.60e-04 | wd 0.100 | gnorm 2.43 | 618.3s
step   330/122071 | loss 4.7664 | lr 1.65e-04 | wd 0.100 | gnorm 3.85 | 637.2s
step   340/122071 | loss 4.5396 | lr 1.70e-04 | wd 0.100 | gnorm 2.05 | 657.1s
step   350/122071 | loss 4.6110 | lr 1.75e-04 | wd 0.100 | gnorm 2.55 | 676.1s
step   360/122071 | loss 4.5280 | lr 1.80e-04 | wd 0.100 | gnorm 2.23 | 694.6s
step   370/122071 | loss 4.4658 | lr 1.85e-04 | wd 0.100 | gnorm 2.10 | 713.6s
step   380/122071 | loss 4.3999 | lr 1.90e-04 | wd 0.100 | gnorm 3.05 | 732.8s
step   390/122071 | loss 4.4211 | lr 1.95e-04 | wd 0.100 | gnorm 2.09 | 751.7s
step   400/122071 | loss 4.3104 | lr 2.00e-04 | wd 0.100 | gnorm 2.56 | 771.2s
step   410/122071 | loss 4.2563 | lr 2.05e-04 | wd 0.100 | gnorm 2.89 | 790.3s
step   420/122071 | loss 4.2166 | lr 2.10e-04 | wd 0.100 | gnorm 2.49 | 809.0s
step   430/122071 | loss 4.0549 | lr 2.15e-04 | wd 0.100 | gnorm 2.73 | 828.2s
step   440/122071 | loss 4.1067 | lr 2.20e-04 | wd 0.100 | gnorm 2.98 | 847.3s
step   450/122071 | loss 4.2658 | lr 2.25e-04 | wd 0.100 | gnorm 2.85 | 866.1s
step   460/122071 | loss 4.1807 | lr 2.30e-04 | wd 0.100 | gnorm 2.85 | 885.0s
step   470/122071 | loss 3.9399 | lr 2.35e-04 | wd 0.100 | gnorm 2.30 | 904.5s
step   480/122071 | loss 4.0620 | lr 2.40e-04 | wd 0.100 | gnorm 3.57 | 923.0s
step   490/122071 | loss 3.6995 | lr 2.45e-04 | wd 0.100 | gnorm 2.59 | 942.0s
  [val] step 500 | val_ppl 73.298
step   500/122071 | loss 3.7755 | lr 2.50e-04 | wd 0.100 | gnorm 2.32 | 961.7s
step   510/122071 | loss 3.8448 | lr 2.55e-04 | wd 0.100 | gnorm 2.59 | 981.6s
step   520/122071 | loss 3.6011 | lr 2.60e-04 | wd 0.100 | gnorm 2.74 | 1001.4s
step   530/122071 | loss 3.9616 | lr 2.65e-04 | wd 0.100 | gnorm 2.63 | 1020.1s
step   540/122071 | loss 3.6917 | lr 2.70e-04 | wd 0.100 | gnorm 2.61 | 1039.2s
step   550/122071 | loss 3.7186 | lr 2.75e-04 | wd 0.100 | gnorm 2.21 | 1058.0s
step   560/122071 | loss 3.6999 | lr 2.80e-04 | wd 0.100 | gnorm 2.36 | 1077.4s
step   570/122071 | loss 3.8654 | lr 2.85e-04 | wd 0.100 | gnorm 2.71 | 1095.9s
step   580/122071 | loss 3.7713 | lr 2.90e-04 | wd 0.100 | gnorm 2.88 | 1115.8s
step   590/122071 | loss 3.5384 | lr 2.95e-04 | wd 0.100 | gnorm 2.31 | 1135.0s
step   600/122071 | loss 3.5484 | lr 3.00e-04 | wd 0.100 | gnorm 2.40 | 1153.9s
step   610/122071 | loss 3.4982 | lr 3.05e-04 | wd 0.100 | gnorm 2.18 | 1173.0s
step   620/122071 | loss 3.5847 | lr 3.10e-04 | wd 0.100 | gnorm 2.09 | 1192.9s
step   630/122071 | loss 3.5733 | lr 3.15e-04 | wd 0.100 | gnorm 2.03 | 1211.6s
step   640/122071 | loss 3.4122 | lr 3.20e-04 | wd 0.100 | gnorm 2.48 | 1230.7s
step   650/122071 | loss 3.4591 | lr 3.25e-04 | wd 0.100 | gnorm 2.13 | 1249.2s
step   660/122071 | loss 3.3153 | lr 3.30e-04 | wd 0.100 | gnorm 2.29 | 1268.5s
step   670/122071 | loss 3.5693 | lr 3.35e-04 | wd 0.100 | gnorm 2.14 | 1287.7s
step   680/122071 | loss 3.6041 | lr 3.40e-04 | wd 0.100 | gnorm 2.62 | 1306.3s
step   690/122071 | loss 3.2077 | lr 3.45e-04 | wd 0.100 | gnorm 2.07 | 1325.3s
step   700/122071 | loss 3.5254 | lr 3.50e-04 | wd 0.100 | gnorm 2.34 | 1345.1s
step   710/122071 | loss 3.3681 | lr 3.55e-04 | wd 0.100 | gnorm 2.37 | 1364.9s
step   720/122071 | loss 3.5277 | lr 3.60e-04 | wd 0.100 | gnorm 1.92 | 1384.1s
step   730/122071 | loss 3.2079 | lr 3.65e-04 | wd 0.100 | gnorm 2.21 | 1403.2s
step   740/122071 | loss 3.2300 | lr 3.70e-04 | wd 0.100 | gnorm 2.28 | 1422.2s
step   750/122071 | loss 3.3880 | lr 3.75e-04 | wd 0.100 | gnorm 2.12 | 1441.1s
step   760/122071 | loss 3.4758 | lr 3.80e-04 | wd 0.100 | gnorm 1.88 | 1460.2s
step   770/122071 | loss 3.2110 | lr 3.85e-04 | wd 0.100 | gnorm 1.94 | 1479.5s
step   780/122071 | loss 3.4344 | lr 3.90e-04 | wd 0.100 | gnorm 1.75 | 1498.1s
step   790/122071 | loss 3.2043 | lr 3.95e-04 | wd 0.100 | gnorm 1.89 | 1517.1s
step   800/122071 | loss 3.1555 | lr 4.00e-04 | wd 0.100 | gnorm 2.19 | 1535.9s
step   810/122071 | loss 3.1222 | lr 4.05e-04 | wd 0.100 | gnorm 2.07 | 1554.6s
step   820/122071 | loss 3.3358 | lr 4.10e-04 | wd 0.100 | gnorm 2.50 | 1574.1s
