=== M7a twin smoke test — 2026-07-18 ===
host: Crostini VM i5-10210U 4C/8T AVX2, 6.4GB RAM; aegis-ppl-rerun ACTIVE (~1GB RSS) throughout
config: configs/m7a_twin.json overrides: --steps 200 --warmup 20 --eval-every 100 --save-every 100 --log-every 1 --threads 4
env: OMP_NUM_THREADS=4 MKL_NUM_THREADS=4
plan: run to ~step 105-115, SIGKILL (crash sim) after step-100 ckpt saved, then --resume to 200

--- RUN 1 (fresh, target kill after step-100 checkpoint) ---
[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step     0/200 | loss 9.0418 | lr 0.00e+00 | wd 0.100 | gnorm 5.12 | 5.6s
step     1/200 | loss 9.0566 | lr 5.00e-05 | wd 0.100 | gnorm 4.76 | 9.7s
step     2/200 | loss 8.9557 | lr 1.00e-04 | wd 0.100 | gnorm 4.58 | 13.5s
step     3/200 | loss 8.8110 | lr 1.50e-04 | wd 0.100 | gnorm 3.86 | 16.7s
step     4/200 | loss 8.6861 | lr 2.00e-04 | wd 0.100 | gnorm 3.68 | 19.8s
step     5/200 | loss 8.5239 | lr 2.50e-04 | wd 0.100 | gnorm 2.56 | 23.0s
step     6/200 | loss 8.4144 | lr 3.00e-04 | wd 0.100 | gnorm 2.14 | 26.1s
step     7/200 | loss 8.3030 | lr 3.50e-04 | wd 0.100 | gnorm 2.02 | 29.7s
step     8/200 | loss 8.2142 | lr 4.00e-04 | wd 0.100 | gnorm 1.98 | 32.7s
step     9/200 | loss 8.1087 | lr 4.50e-04 | wd 0.100 | gnorm 1.96 | 35.6s
step    10/200 | loss 8.0167 | lr 5.00e-04 | wd 0.100 | gnorm 1.93 | 38.6s
step    11/200 | loss 7.8811 | lr 5.50e-04 | wd 0.100 | gnorm 1.95 | 41.6s
step    12/200 | loss 7.7633 | lr 6.00e-04 | wd 0.100 | gnorm 1.81 | 44.7s
step    13/200 | loss 7.5659 | lr 6.50e-04 | wd 0.100 | gnorm 1.86 | 49.7s
step    14/200 | loss 7.3701 | lr 7.00e-04 | wd 0.100 | gnorm 1.86 | 53.1s
step    15/200 | loss 7.2070 | lr 7.50e-04 | wd 0.100 | gnorm 1.82 | 56.4s
step    16/200 | loss 7.0351 | lr 8.00e-04 | wd 0.100 | gnorm 1.79 | 59.5s
step    17/200 | loss 6.8331 | lr 8.50e-04 | wd 0.100 | gnorm 1.73 | 62.5s
step    18/200 | loss 6.6654 | lr 9.00e-04 | wd 0.100 | gnorm 1.64 | 65.4s
step    19/200 | loss 6.5536 | lr 9.50e-04 | wd 0.100 | gnorm 1.49 | 68.6s
step    20/200 | loss 6.3638 | lr 1.00e-03 | wd 0.100 | gnorm 1.41 | 72.4s
step    21/200 | loss 6.2500 | lr 1.00e-03 | wd 0.100 | gnorm 1.26 | 76.5s
step    22/200 | loss 6.1254 | lr 1.00e-03 | wd 0.100 | gnorm 1.09 | 79.9s
step    23/200 | loss 5.9529 | lr 9.99e-04 | wd 0.100 | gnorm 1.03 | 83.2s
step    24/200 | loss 5.9322 | lr 9.99e-04 | wd 0.100 | gnorm 0.79 | 86.4s
step    25/200 | loss 5.9515 | lr 9.98e-04 | wd 0.100 | gnorm 0.65 | 89.8s
step    26/200 | loss 5.8294 | lr 9.98e-04 | wd 0.100 | gnorm 0.47 | 93.1s
step    27/200 | loss 5.8731 | lr 9.97e-04 | wd 0.100 | gnorm 0.43 | 96.3s
step    28/200 | loss 5.8826 | lr 9.96e-04 | wd 0.100 | gnorm 0.37 | 99.6s
step    29/200 | loss 5.9042 | lr 9.94e-04 | wd 0.100 | gnorm 0.51 | 102.8s
step    30/200 | loss 5.9247 | lr 9.93e-04 | wd 0.100 | gnorm 0.56 | 106.0s
step    31/200 | loss 5.8445 | lr 9.92e-04 | wd 0.100 | gnorm 0.62 | 109.0s
step    32/200 | loss 5.9043 | lr 9.90e-04 | wd 0.100 | gnorm 0.66 | 112.1s
step    33/200 | loss 5.8495 | lr 9.88e-04 | wd 0.100 | gnorm 0.53 | 115.1s
step    34/200 | loss 5.8968 | lr 9.87e-04 | wd 0.100 | gnorm 0.45 | 118.3s
step    35/200 | loss 5.8299 | lr 9.85e-04 | wd 0.100 | gnorm 0.50 | 121.5s
step    36/200 | loss 6.0439 | lr 9.83e-04 | wd 0.100 | gnorm 0.48 | 124.6s
step    37/200 | loss 5.8600 | lr 9.80e-04 | wd 0.100 | gnorm 0.45 | 127.6s
step    38/200 | loss 5.9142 | lr 9.78e-04 | wd 0.100 | gnorm 0.46 | 130.7s
step    39/200 | loss 5.9269 | lr 9.75e-04 | wd 0.100 | gnorm 0.62 | 133.9s
step    40/200 | loss 5.8387 | lr 9.73e-04 | wd 0.100 | gnorm 0.47 | 137.0s
step    41/200 | loss 5.8050 | lr 9.70e-04 | wd 0.100 | gnorm 0.47 | 140.4s
step    42/200 | loss 5.8404 | lr 9.67e-04 | wd 0.100 | gnorm 0.46 | 143.9s
step    43/200 | loss 5.7519 | lr 9.64e-04 | wd 0.100 | gnorm 0.45 | 147.5s
step    44/200 | loss 5.9223 | lr 9.61e-04 | wd 0.100 | gnorm 0.51 | 150.9s
step    45/200 | loss 5.9857 | lr 9.58e-04 | wd 0.100 | gnorm 0.46 | 154.3s
step    46/200 | loss 5.8627 | lr 9.54e-04 | wd 0.100 | gnorm 0.41 | 157.7s
step    47/200 | loss 5.8566 | lr 9.51e-04 | wd 0.100 | gnorm 0.47 | 160.8s
step    48/200 | loss 5.8261 | lr 9.47e-04 | wd 0.100 | gnorm 0.52 | 164.0s
step    49/200 | loss 5.8384 | lr 9.44e-04 | wd 0.100 | gnorm 0.48 | 167.2s
step    50/200 | loss 5.8697 | lr 9.40e-04 | wd 0.100 | gnorm 0.84 | 170.6s
step    51/200 | loss 5.8642 | lr 9.36e-04 | wd 0.100 | gnorm 1.11 | 173.6s
step    52/200 | loss 5.7223 | lr 9.32e-04 | wd 0.100 | gnorm 0.64 | 176.6s
step    53/200 | loss 5.7837 | lr 9.27e-04 | wd 0.100 | gnorm 0.63 | 179.6s
step    54/200 | loss 5.6578 | lr 9.23e-04 | wd 0.100 | gnorm 0.46 | 182.7s
step    55/200 | loss 5.6689 | lr 9.19e-04 | wd 0.100 | gnorm 0.70 | 185.9s
step    56/200 | loss 5.8030 | lr 9.14e-04 | wd 0.100 | gnorm 0.67 | 188.9s
step    57/200 | loss 5.6254 | lr 9.09e-04 | wd 0.100 | gnorm 0.68 | 192.0s
step    58/200 | loss 5.6588 | lr 9.05e-04 | wd 0.100 | gnorm 0.68 | 195.1s
step    59/200 | loss 5.6381 | lr 9.00e-04 | wd 0.100 | gnorm 0.59 | 198.1s
step    60/200 | loss 5.6518 | lr 8.95e-04 | wd 0.100 | gnorm 0.72 | 201.0s
step    61/200 | loss 5.4623 | lr 8.90e-04 | wd 0.100 | gnorm 0.80 | 204.1s
step    62/200 | loss 5.4574 | lr 8.84e-04 | wd 0.100 | gnorm 0.74 | 207.2s
step    63/200 | loss 5.4148 | lr 8.79e-04 | wd 0.100 | gnorm 0.67 | 210.1s
step    64/200 | loss 5.3830 | lr 8.74e-04 | wd 0.100 | gnorm 0.59 | 213.3s
step    65/200 | loss 5.4337 | lr 8.68e-04 | wd 0.100 | gnorm 0.97 | 216.8s
step    66/200 | loss 5.4178 | lr 8.63e-04 | wd 0.100 | gnorm 0.80 | 219.9s
step    67/200 | loss 5.3759 | lr 8.57e-04 | wd 0.100 | gnorm 0.67 | 222.9s
step    68/200 | loss 5.3347 | lr 8.51e-04 | wd 0.100 | gnorm 0.73 | 226.1s
step    69/200 | loss 5.3082 | lr 8.45e-04 | wd 0.100 | gnorm 0.75 | 229.3s
step    70/200 | loss 5.3469 | lr 8.39e-04 | wd 0.100 | gnorm 0.70 | 232.3s
step    71/200 | loss 5.3855 | lr 8.33e-04 | wd 0.100 | gnorm 1.14 | 235.2s
step    72/200 | loss 5.4653 | lr 8.27e-04 | wd 0.100 | gnorm 0.85 | 238.3s
step    73/200 | loss 5.3814 | lr 8.21e-04 | wd 0.100 | gnorm 1.07 | 241.3s
step    74/200 | loss 5.4035 | lr 8.15e-04 | wd 0.100 | gnorm 0.59 | 244.3s
step    75/200 | loss 5.3035 | lr 8.08e-04 | wd 0.100 | gnorm 0.73 | 247.4s
step    76/200 | loss 5.4288 | lr 8.02e-04 | wd 0.100 | gnorm 0.67 | 250.4s
