name,abs_start,abs_end
model.layers.0.input_layernorm.weight,58597,68837
model.layers.0.mlp.down_proj.weight_scale,68837,68841
model.layers.0.mlp.ffn_sub_norm.weight,68841,96489
model.layers.0.mlp.gate_proj.weight_scale,96489,96493
model.layers.0.mlp.up_proj.weight_scale,96493,96497
model.layers.0.post_attention_layernorm.weight,96497,106737
model.layers.0.self_attn.attn_sub_norm.weight,106737,116977
model.layers.0.self_attn.k_proj.weight_scale,116977,116981
model.layers.0.self_attn.o_proj.weight_scale,116981,116985
model.layers.0.self_attn.q_proj.weight_scale,116985,116989
model.layers.0.self_attn.v_proj.weight_scale,116989,116993
model.layers.1.input_layernorm.weight,116993,127233
model.layers.1.mlp.down_proj.weight_scale,127233,127237
model.layers.1.mlp.ffn_sub_norm.weight,127237,154885
model.layers.1.mlp.gate_proj.weight_scale,154885,154889
model.layers.1.mlp.up_proj.weight_scale,154889,154893
model.layers.1.post_attention_layernorm.weight,154893,165133
model.layers.1.self_attn.attn_sub_norm.weight,165133,175373
model.layers.1.self_attn.k_proj.weight_scale,175373,175377
model.layers.1.self_attn.o_proj.weight_scale,175377,175381
model.layers.1.self_attn.q_proj.weight_scale,175381,175385
model.layers.1.self_attn.v_proj.weight_scale,175385,175389
model.layers.10.input_layernorm.weight,175389,185629
model.layers.10.mlp.down_proj.weight_scale,185629,185633
model.layers.10.mlp.ffn_sub_norm.weight,185633,213281
model.layers.10.mlp.gate_proj.weight_scale,213281,213285
model.layers.10.mlp.up_proj.weight_scale,213285,213289
model.layers.10.post_attention_layernorm.weight,213289,223529
model.layers.10.self_attn.attn_sub_norm.weight,223529,233769
model.layers.10.self_attn.k_proj.weight_scale,233769,233773
model.layers.10.self_attn.o_proj.weight_scale,233773,233777
model.layers.10.self_attn.q_proj.weight_scale,233777,233781
model.layers.10.self_attn.v_proj.weight_scale,233781,233785
model.layers.11.input_layernorm.weight,233785,244025
model.layers.11.mlp.down_proj.weight_scale,244025,244029
model.layers.11.mlp.ffn_sub_norm.weight,244029,271677
model.layers.11.mlp.gate_proj.weight_scale,271677,271681
model.layers.11.mlp.up_proj.weight_scale,271681,271685
model.layers.11.post_attention_layernorm.weight,271685,281925
model.layers.11.self_attn.attn_sub_norm.weight,281925,292165
model.layers.11.self_attn.k_proj.weight_scale,292165,292169
