name,abs_start,abs_end
model.layers.0.self_attn.k_proj.weight_scale,116977,116981
model.layers.0.self_attn.o_proj.weight_scale,116981,116985
model.layers.0.self_attn.q_proj.weight_scale,116985,116989
model.layers.0.self_attn.v_proj.weight_scale,116989,116993
model.layers.1.self_attn.k_proj.weight_scale,175373,175377
model.layers.1.self_attn.o_proj.weight_scale,175377,175381
model.layers.1.self_attn.q_proj.weight_scale,175381,175385
model.layers.1.self_attn.v_proj.weight_scale,175385,175389
model.layers.10.self_attn.k_proj.weight_scale,233769,233773
model.layers.10.self_attn.o_proj.weight_scale,233773,233777
model.layers.10.self_attn.q_proj.weight_scale,233777,233781
model.layers.10.self_attn.v_proj.weight_scale,233781,233785
model.layers.11.self_attn.k_proj.weight_scale,292165,292169
model.layers.11.self_attn.o_proj.weight_scale,292169,292173
model.layers.11.self_attn.q_proj.weight_scale,292173,292177
model.layers.11.self_attn.v_proj.weight_scale,292177,292181
model.layers.12.self_attn.k_proj.weight_scale,350561,350565
model.layers.12.self_attn.o_proj.weight_scale,350565,350569
model.layers.12.self_attn.q_proj.weight_scale,350569,350573
model.layers.12.self_attn.v_proj.weight_scale,350573,350577
model.layers.13.self_attn.k_proj.weight_scale,408957,408961
model.layers.13.self_attn.o_proj.weight_scale,408961,408965
model.layers.13.self_attn.q_proj.weight_scale,408965,408969
model.layers.13.self_attn.v_proj.weight_scale,408969,408973
model.layers.14.self_attn.k_proj.weight_scale,467353,467357
model.layers.14.self_attn.o_proj.weight_scale,467357,467361
model.layers.14.self_attn.q_proj.weight_scale,467361,467365
model.layers.14.self_attn.v_proj.weight_scale,467365,467369
model.layers.15.self_attn.k_proj.weight_scale,525749,525753
model.layers.15.self_attn.o_proj.weight_scale,525753,525757
model.layers.15.self_attn.q_proj.weight_scale,525757,525761
model.layers.15.self_attn.v_proj.weight_scale,525761,525765
model.layers.16.self_attn.k_proj.weight_scale,584145,584149
model.layers.16.self_attn.o_proj.weight_scale,584149,584153
model.layers.16.self_attn.q_proj.weight_scale,584153,584157
model.layers.16.self_attn.v_proj.weight_scale,584157,584161
model.layers.17.self_attn.k_proj.weight_scale,642541,642545
model.layers.17.self_attn.o_proj.weight_scale,642545,642549
model.layers.17.self_attn.q_proj.weight_scale,642549,642553
model.layers.17.self_attn.v_proj.weight_scale,642553,642557
model.layers.18.self_attn.k_proj.weight_scale,700937,700941
model.layers.18.self_attn.o_proj.weight_scale,700941,700945
model.layers.18.self_attn.q_proj.weight_scale,700945,700949
model.layers.18.self_attn.v_proj.weight_scale,700949,700953
model.layers.19.self_attn.k_proj.weight_scale,759333,759337
model.layers.19.self_attn.o_proj.weight_scale,759337,759341
model.layers.19.self_attn.q_proj.weight_scale,759341,759345
model.layers.19.self_attn.v_proj.weight_scale,759345,759349
model.layers.2.self_attn.k_proj.weight_scale,817729,817733
model.layers.2.self_attn.o_proj.weight_scale,817733,817737
model.layers.2.self_attn.q_proj.weight_scale,817737,817741
model.layers.2.self_attn.v_proj.weight_scale,817741,817745
model.layers.20.self_attn.k_proj.weight_scale,876125,876129
model.layers.20.self_attn.o_proj.weight_scale,876129,876133
model.layers.20.self_attn.q_proj.weight_scale,876133,876137
model.layers.20.self_attn.v_proj.weight_scale,876137,876141
model.layers.21.self_attn.k_proj.weight_scale,934521,934525
model.layers.21.self_attn.o_proj.weight_scale,934525,934529
model.layers.21.self_attn.q_proj.weight_scale,934529,934533
model.layers.21.self_attn.v_proj.weight_scale,934533,934537
model.layers.22.self_attn.k_proj.weight_scale,992917,992921
model.layers.22.self_attn.o_proj.weight_scale,992921,992925
model.layers.22.self_attn.q_proj.weight_scale,992925,992929
model.layers.22.self_attn.v_proj.weight_scale,992929,992933
model.layers.23.self_attn.k_proj.weight_scale,1051313,1051317
