name,abs_start,abs_end
model.layers.0.mlp.down_proj.weight_scale,68837,68841
model.layers.0.mlp.gate_proj.weight_scale,96489,96493
model.layers.0.mlp.up_proj.weight_scale,96493,96497
model.layers.1.mlp.down_proj.weight_scale,127233,127237
model.layers.1.mlp.gate_proj.weight_scale,154885,154889
model.layers.1.mlp.up_proj.weight_scale,154889,154893
model.layers.10.mlp.down_proj.weight_scale,185629,185633
model.layers.10.mlp.gate_proj.weight_scale,213281,213285
model.layers.10.mlp.up_proj.weight_scale,213285,213289
model.layers.11.mlp.down_proj.weight_scale,244025,244029
model.layers.11.mlp.gate_proj.weight_scale,271677,271681
model.layers.11.mlp.up_proj.weight_scale,271681,271685
model.layers.12.mlp.down_proj.weight_scale,302421,302425
model.layers.12.mlp.gate_proj.weight_scale,330073,330077
model.layers.12.mlp.up_proj.weight_scale,330077,330081
model.layers.13.mlp.down_proj.weight_scale,360817,360821
model.layers.13.mlp.gate_proj.weight_scale,388469,388473
model.layers.13.mlp.up_proj.weight_scale,388473,388477
model.layers.14.mlp.down_proj.weight_scale,419213,419217
model.layers.14.mlp.gate_proj.weight_scale,446865,446869
model.layers.14.mlp.up_proj.weight_scale,446869,446873
model.layers.15.mlp.down_proj.weight_scale,477609,477613
model.layers.15.mlp.gate_proj.weight_scale,505261,505265
model.layers.15.mlp.up_proj.weight_scale,505265,505269
model.layers.16.mlp.down_proj.weight_scale,536005,536009
model.layers.16.mlp.gate_proj.weight_scale,563657,563661
model.layers.16.mlp.up_proj.weight_scale,563661,563665
model.layers.17.mlp.down_proj.weight_scale,594401,594405
model.layers.17.mlp.gate_proj.weight_scale,622053,622057
model.layers.17.mlp.up_proj.weight_scale,622057,622061
model.layers.18.mlp.down_proj.weight_scale,652797,652801
model.layers.18.mlp.gate_proj.weight_scale,680449,680453
model.layers.18.mlp.up_proj.weight_scale,680453,680457
model.layers.19.mlp.down_proj.weight_scale,711193,711197
model.layers.19.mlp.gate_proj.weight_scale,738845,738849
model.layers.19.mlp.up_proj.weight_scale,738849,738853
model.layers.2.mlp.down_proj.weight_scale,769589,769593
model.layers.2.mlp.gate_proj.weight_scale,797241,797245
model.layers.2.mlp.up_proj.weight_scale,797245,797249
model.layers.20.mlp.down_proj.weight_scale,827985,827989
model.layers.20.mlp.gate_proj.weight_scale,855637,855641
model.layers.20.mlp.up_proj.weight_scale,855641,855645
model.layers.21.mlp.down_proj.weight_scale,886381,886385
model.layers.21.mlp.gate_proj.weight_scale,914033,914037
model.layers.21.mlp.up_proj.weight_scale,914037,914041
model.layers.22.mlp.down_proj.weight_scale,944777,944781
model.layers.22.mlp.gate_proj.weight_scale,972429,972433
model.layers.22.mlp.up_proj.weight_scale,972433,972437
model.layers.23.mlp.down_proj.weight_scale,1003173,1003177
model.layers.23.mlp.gate_proj.weight_scale,1030825,1030829
model.layers.23.mlp.up_proj.weight_scale,1030829,1030833
model.layers.24.mlp.down_proj.weight_scale,1061569,1061573
model.layers.24.mlp.gate_proj.weight_scale,1089221,1089225
model.layers.24.mlp.up_proj.weight_scale,1089225,1089229
model.layers.25.mlp.down_proj.weight_scale,1119965,1119969
model.layers.25.mlp.gate_proj.weight_scale,1147617,1147621
model.layers.25.mlp.up_proj.weight_scale,1147621,1147625
model.layers.26.mlp.down_proj.weight_scale,1178361,1178365
model.layers.26.mlp.gate_proj.weight_scale,1206013,1206017
model.layers.26.mlp.up_proj.weight_scale,1206017,1206021
model.layers.27.mlp.down_proj.weight_scale,1236757,1236761
model.layers.27.mlp.gate_proj.weight_scale,1264409,1264413
model.layers.27.mlp.up_proj.weight_scale,1264413,1264417
model.layers.28.mlp.down_proj.weight_scale,1295153,1295157
model.layers.28.mlp.gate_proj.weight_scale,1322805,1322809
model.layers.28.mlp.up_proj.weight_scale,1322809,1322813
model.layers.29.mlp.down_proj.weight_scale,1353549,1353553
model.layers.29.mlp.gate_proj.weight_scale,1381201,1381205
model.layers.29.mlp.up_proj.weight_scale,1381205,1381209
model.layers.3.mlp.down_proj.weight_scale,1411945,1411949
model.layers.3.mlp.gate_proj.weight_scale,1439597,1439601
model.layers.3.mlp.up_proj.weight_scale,1439601,1439605
model.layers.4.mlp.down_proj.weight_scale,1470341,1470345
model.layers.4.mlp.gate_proj.weight_scale,1497993,1497997
model.layers.4.mlp.up_proj.weight_scale,1497997,1498001
model.layers.5.mlp.down_proj.weight_scale,1528737,1528741
model.layers.5.mlp.gate_proj.weight_scale,1556389,1556393
model.layers.5.mlp.up_proj.weight_scale,1556393,1556397
model.layers.6.mlp.down_proj.weight_scale,1587133,1587137
model.layers.6.mlp.gate_proj.weight_scale,1614785,1614789
model.layers.6.mlp.up_proj.weight_scale,1614789,1614793
model.layers.7.mlp.down_proj.weight_scale,1645529,1645533
model.layers.7.mlp.gate_proj.weight_scale,1673181,1673185
model.layers.7.mlp.up_proj.weight_scale,1673185,1673189
model.layers.8.mlp.down_proj.weight_scale,1703925,1703929
model.layers.8.mlp.gate_proj.weight_scale,1731577,1731581
model.layers.8.mlp.up_proj.weight_scale,1731581,1731585
model.layers.9.mlp.down_proj.weight_scale,1762321,1762325
model.layers.9.mlp.gate_proj.weight_scale,1789973,1789977
model.layers.9.mlp.up_proj.weight_scale,1789977,1789981
