name,abs_start,abs_end
model.layers.0.self_attn.k_proj.weight,15091757,15501357
model.layers.0.self_attn.o_proj.weight,15501357,17139757
model.layers.0.self_attn.q_proj.weight,17139757,18778157
model.layers.0.self_attn.v_proj.weight,18778157,19187757
model.layers.1.self_attn.k_proj.weight,32458797,32868397
model.layers.1.self_attn.o_proj.weight,32868397,34506797
model.layers.1.self_attn.q_proj.weight,34506797,36145197
model.layers.1.self_attn.v_proj.weight,36145197,36554797
model.layers.10.self_attn.k_proj.weight,49825837,50235437
model.layers.10.self_attn.o_proj.weight,50235437,51873837
model.layers.10.self_attn.q_proj.weight,51873837,53512237
model.layers.10.self_attn.v_proj.weight,53512237,53921837
model.layers.11.self_attn.k_proj.weight,67192877,67602477
model.layers.11.self_attn.o_proj.weight,67602477,69240877
model.layers.11.self_attn.q_proj.weight,69240877,70879277
model.layers.11.self_attn.v_proj.weight,70879277,71288877
model.layers.12.self_attn.k_proj.weight,84559917,84969517
model.layers.12.self_attn.o_proj.weight,84969517,86607917
model.layers.12.self_attn.q_proj.weight,86607917,88246317
model.layers.12.self_attn.v_proj.weight,88246317,88655917
model.layers.13.self_attn.k_proj.weight,101926957,102336557
model.layers.13.self_attn.o_proj.weight,102336557,103974957
model.layers.13.self_attn.q_proj.weight,103974957,105613357
model.layers.13.self_attn.v_proj.weight,105613357,106022957
model.layers.14.self_attn.k_proj.weight,119293997,119703597
model.layers.14.self_attn.o_proj.weight,119703597,121341997
model.layers.14.self_attn.q_proj.weight,121341997,122980397
model.layers.14.self_attn.v_proj.weight,122980397,123389997
model.layers.15.self_attn.k_proj.weight,136661037,137070637
model.layers.15.self_attn.o_proj.weight,137070637,138709037
model.layers.15.self_attn.q_proj.weight,138709037,140347437
model.layers.15.self_attn.v_proj.weight,140347437,140757037
model.layers.16.self_attn.k_proj.weight,154028077,154437677
model.layers.16.self_attn.o_proj.weight,154437677,156076077
model.layers.16.self_attn.q_proj.weight,156076077,157714477
model.layers.16.self_attn.v_proj.weight,157714477,158124077
model.layers.17.self_attn.k_proj.weight,171395117,171804717
model.layers.17.self_attn.o_proj.weight,171804717,173443117
model.layers.17.self_attn.q_proj.weight,173443117,175081517
model.layers.17.self_attn.v_proj.weight,175081517,175491117
model.layers.18.self_attn.k_proj.weight,188762157,189171757
model.layers.18.self_attn.o_proj.weight,189171757,190810157
model.layers.18.self_attn.q_proj.weight,190810157,192448557
model.layers.18.self_attn.v_proj.weight,192448557,192858157
model.layers.19.self_attn.k_proj.weight,206129197,206538797
model.layers.19.self_attn.o_proj.weight,206538797,208177197
model.layers.19.self_attn.q_proj.weight,208177197,209815597
model.layers.19.self_attn.v_proj.weight,209815597,210225197
model.layers.2.self_attn.k_proj.weight,223496237,223905837
model.layers.2.self_attn.o_proj.weight,223905837,225544237
model.layers.2.self_attn.q_proj.weight,225544237,227182637
model.layers.2.self_attn.v_proj.weight,227182637,227592237
model.layers.20.self_attn.k_proj.weight,240863277,241272877
model.layers.20.self_attn.o_proj.weight,241272877,242911277
model.layers.20.self_attn.q_proj.weight,242911277,244549677
model.layers.20.self_attn.v_proj.weight,244549677,244959277
model.layers.21.self_attn.k_proj.weight,258230317,258639917
model.layers.21.self_attn.o_proj.weight,258639917,260278317
model.layers.21.self_attn.q_proj.weight,260278317,261916717
model.layers.21.self_attn.v_proj.weight,261916717,262326317
model.layers.22.self_attn.k_proj.weight,275597357,276006957
model.layers.22.self_attn.o_proj.weight,276006957,277645357
model.layers.22.self_attn.q_proj.weight,277645357,279283757
model.layers.22.self_attn.v_proj.weight,279283757,279693357
model.layers.23.self_attn.k_proj.weight,292964397,293373997
model.layers.23.self_attn.o_proj.weight,293373997,295012397
model.layers.23.self_attn.q_proj.weight,295012397,296650797
model.layers.23.self_attn.v_proj.weight,296650797,297060397
model.layers.24.self_attn.k_proj.weight,310331437,310741037
model.layers.24.self_attn.o_proj.weight,310741037,312379437
model.layers.24.self_attn.q_proj.weight,312379437,314017837
model.layers.24.self_attn.v_proj.weight,314017837,314427437
model.layers.25.self_attn.k_proj.weight,327698477,328108077
model.layers.25.self_attn.o_proj.weight,328108077,329746477
model.layers.25.self_attn.q_proj.weight,329746477,331384877
model.layers.25.self_attn.v_proj.weight,331384877,331794477
model.layers.26.self_attn.k_proj.weight,345065517,345475117
model.layers.26.self_attn.o_proj.weight,345475117,347113517
model.layers.26.self_attn.q_proj.weight,347113517,348751917
model.layers.26.self_attn.v_proj.weight,348751917,349161517
model.layers.27.self_attn.k_proj.weight,362432557,362842157
model.layers.27.self_attn.o_proj.weight,362842157,364480557
model.layers.27.self_attn.q_proj.weight,364480557,366118957
model.layers.27.self_attn.v_proj.weight,366118957,366528557
model.layers.28.self_attn.k_proj.weight,379799597,380209197
model.layers.28.self_attn.o_proj.weight,380209197,381847597
model.layers.28.self_attn.q_proj.weight,381847597,383485997
model.layers.28.self_attn.v_proj.weight,383485997,383895597
model.layers.29.self_attn.k_proj.weight,397166637,397576237
model.layers.29.self_attn.o_proj.weight,397576237,399214637
model.layers.29.self_attn.q_proj.weight,399214637,400853037
model.layers.29.self_attn.v_proj.weight,400853037,401262637
model.layers.3.self_attn.k_proj.weight,414533677,414943277
model.layers.3.self_attn.o_proj.weight,414943277,416581677
model.layers.3.self_attn.q_proj.weight,416581677,418220077
model.layers.3.self_attn.v_proj.weight,418220077,418629677
model.layers.4.self_attn.k_proj.weight,431900717,432310317
model.layers.4.self_attn.o_proj.weight,432310317,433948717
model.layers.4.self_attn.q_proj.weight,433948717,435587117
model.layers.4.self_attn.v_proj.weight,435587117,435996717
model.layers.5.self_attn.k_proj.weight,449267757,449677357
model.layers.5.self_attn.o_proj.weight,449677357,451315757
model.layers.5.self_attn.q_proj.weight,451315757,452954157
model.layers.5.self_attn.v_proj.weight,452954157,453363757
model.layers.6.self_attn.k_proj.weight,466634797,467044397
model.layers.6.self_attn.o_proj.weight,467044397,468682797
model.layers.6.self_attn.q_proj.weight,468682797,470321197
model.layers.6.self_attn.v_proj.weight,470321197,470730797
model.layers.7.self_attn.k_proj.weight,484001837,484411437
model.layers.7.self_attn.o_proj.weight,484411437,486049837
model.layers.7.self_attn.q_proj.weight,486049837,487688237
model.layers.7.self_attn.v_proj.weight,487688237,488097837
model.layers.8.self_attn.k_proj.weight,501368877,501778477
model.layers.8.self_attn.o_proj.weight,501778477,503416877
model.layers.8.self_attn.q_proj.weight,503416877,505055277
model.layers.8.self_attn.v_proj.weight,505055277,505464877
model.layers.9.self_attn.k_proj.weight,518735917,519145517
model.layers.9.self_attn.o_proj.weight,519145517,520783917
model.layers.9.self_attn.q_proj.weight,520783917,522422317
model.layers.9.self_attn.v_proj.weight,522422317,522831917
