name,abs_start,abs_end
model.layers.0.mlp.down_proj.weight,1820717,6244397
model.layers.0.mlp.gate_proj.weight,6244397,10668077
model.layers.0.mlp.up_proj.weight,10668077,15091757
model.layers.1.mlp.down_proj.weight,19187757,23611437
model.layers.1.mlp.gate_proj.weight,23611437,28035117
model.layers.1.mlp.up_proj.weight,28035117,32458797
model.layers.10.mlp.down_proj.weight,36554797,40978477
model.layers.10.mlp.gate_proj.weight,40978477,45402157
model.layers.10.mlp.up_proj.weight,45402157,49825837
model.layers.11.mlp.down_proj.weight,53921837,58345517
model.layers.11.mlp.gate_proj.weight,58345517,62769197
model.layers.11.mlp.up_proj.weight,62769197,67192877
model.layers.12.mlp.down_proj.weight,71288877,75712557
model.layers.12.mlp.gate_proj.weight,75712557,80136237
model.layers.12.mlp.up_proj.weight,80136237,84559917
model.layers.13.mlp.down_proj.weight,88655917,93079597
model.layers.13.mlp.gate_proj.weight,93079597,97503277
model.layers.13.mlp.up_proj.weight,97503277,101926957
model.layers.14.mlp.down_proj.weight,106022957,110446637
model.layers.14.mlp.gate_proj.weight,110446637,114870317
model.layers.14.mlp.up_proj.weight,114870317,119293997
model.layers.15.mlp.down_proj.weight,123389997,127813677
model.layers.15.mlp.gate_proj.weight,127813677,132237357
model.layers.15.mlp.up_proj.weight,132237357,136661037
model.layers.16.mlp.down_proj.weight,140757037,145180717
model.layers.16.mlp.gate_proj.weight,145180717,149604397
model.layers.16.mlp.up_proj.weight,149604397,154028077
model.layers.17.mlp.down_proj.weight,158124077,162547757
model.layers.17.mlp.gate_proj.weight,162547757,166971437
model.layers.17.mlp.up_proj.weight,166971437,171395117
model.layers.18.mlp.down_proj.weight,175491117,179914797
model.layers.18.mlp.gate_proj.weight,179914797,184338477
model.layers.18.mlp.up_proj.weight,184338477,188762157
model.layers.19.mlp.down_proj.weight,192858157,197281837
model.layers.19.mlp.gate_proj.weight,197281837,201705517
model.layers.19.mlp.up_proj.weight,201705517,206129197
model.layers.2.mlp.down_proj.weight,210225197,214648877
model.layers.2.mlp.gate_proj.weight,214648877,219072557
model.layers.2.mlp.up_proj.weight,219072557,223496237
model.layers.20.mlp.down_proj.weight,227592237,232015917
model.layers.20.mlp.gate_proj.weight,232015917,236439597
model.layers.20.mlp.up_proj.weight,236439597,240863277
model.layers.21.mlp.down_proj.weight,244959277,249382957
model.layers.21.mlp.gate_proj.weight,249382957,253806637
model.layers.21.mlp.up_proj.weight,253806637,258230317
model.layers.22.mlp.down_proj.weight,262326317,266749997
model.layers.22.mlp.gate_proj.weight,266749997,271173677
model.layers.22.mlp.up_proj.weight,271173677,275597357
model.layers.23.mlp.down_proj.weight,279693357,284117037
model.layers.23.mlp.gate_proj.weight,284117037,288540717
model.layers.23.mlp.up_proj.weight,288540717,292964397
model.layers.24.mlp.down_proj.weight,297060397,301484077
model.layers.24.mlp.gate_proj.weight,301484077,305907757
model.layers.24.mlp.up_proj.weight,305907757,310331437
model.layers.25.mlp.down_proj.weight,314427437,318851117
model.layers.25.mlp.gate_proj.weight,318851117,323274797
model.layers.25.mlp.up_proj.weight,323274797,327698477
model.layers.26.mlp.down_proj.weight,331794477,336218157
model.layers.26.mlp.gate_proj.weight,336218157,340641837
model.layers.26.mlp.up_proj.weight,340641837,345065517
model.layers.27.mlp.down_proj.weight,349161517,353585197
model.layers.27.mlp.gate_proj.weight,353585197,358008877
model.layers.27.mlp.up_proj.weight,358008877,362432557
model.layers.28.mlp.down_proj.weight,366528557,370952237
model.layers.28.mlp.gate_proj.weight,370952237,375375917
model.layers.28.mlp.up_proj.weight,375375917,379799597
model.layers.29.mlp.down_proj.weight,383895597,388319277
model.layers.29.mlp.gate_proj.weight,388319277,392742957
model.layers.29.mlp.up_proj.weight,392742957,397166637
model.layers.3.mlp.down_proj.weight,401262637,405686317
model.layers.3.mlp.gate_proj.weight,405686317,410109997
model.layers.3.mlp.up_proj.weight,410109997,414533677
model.layers.4.mlp.down_proj.weight,418629677,423053357
model.layers.4.mlp.gate_proj.weight,423053357,427477037
model.layers.4.mlp.up_proj.weight,427477037,431900717
model.layers.5.mlp.down_proj.weight,435996717,440420397
model.layers.5.mlp.gate_proj.weight,440420397,444844077
model.layers.5.mlp.up_proj.weight,444844077,449267757
model.layers.6.mlp.down_proj.weight,453363757,457787437
model.layers.6.mlp.gate_proj.weight,457787437,462211117
model.layers.6.mlp.up_proj.weight,462211117,466634797
model.layers.7.mlp.down_proj.weight,470730797,475154477
model.layers.7.mlp.gate_proj.weight,475154477,479578157
model.layers.7.mlp.up_proj.weight,479578157,484001837
model.layers.8.mlp.down_proj.weight,488097837,492521517
model.layers.8.mlp.gate_proj.weight,492521517,496945197
model.layers.8.mlp.up_proj.weight,496945197,501368877
model.layers.9.mlp.down_proj.weight,505464877,509888557
model.layers.9.mlp.gate_proj.weight,509888557,514312237
model.layers.9.mlp.up_proj.weight,514312237,518735917
